morphospecies,color,body_length,wingspan,species,location,time,family,subfamily,guilds,,color index,,,,
cottage core,brown,12.3,53.1,Hermeuptychia hermes,cf,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,mariposas
skinty queen,translucent,20.1,55.5,Ithomia terra terrana,cf,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
just cottage,light brown,15.5,49.8,Ypthimoides sp,cf,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
difficult af ,"translucent, black, orange",12.1,32.7,Erateina sp.,cf,afternoon,Geometridae,Ennominae,Phytophagous,,Colorful,,,,
cottage core,brown,16.6,,Hermeuptychia hermes,cf,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
just cottage,brown,17.9,46.6,Ypthimoides sp,cf,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
black mamba,dark brown,20.2,55.4,Steremnia pronophila,cf,afternoon,Nymphalidae,Satyrinae,Phytophagous,,Dull,,,,
cottage core,brown,11.8,21,Hermeuptychia hermes,cf,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
cottage core,brown,16.2,42.5,Hermeuptychia hermes,cf,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
just core,light brown,15.8,34.6,Manerebia inderena fina,cf,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
diving af,"black, white",21.1,40.29,Pedaliodes pecestas,cf,afternoon,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
kesha,"green, yellow",19.1,37.4,Dismorphia medora,cf,afternoon,Pieridae,Dismorphiinae,Phytophagous,,Colorful,,,,
black sunset,"black, orange",26.5,49.4,Altinote ozomene ,cf,evening,Nymphalidae,Acraeinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
orangnito,orangey-brown,6.7,14,Telenasa jana,cf,evening,Riodinidae,Riodininae,Phytophagous,,Colorful,,,,
tiramisu,"brown, white",10,23.5,Pyralidae sp. 1,cf,evening,Pyralidae,Pyralinae,Detritivore,,Dull,,,,
marshmallow,white,7,17.5,Pyralidae sp. 2,cf,evening,Pyralidae,Pyralinae,Detritivore,,Dull,,,,
marshmallow,white,8.1,19.1,Pyralidae sp. 2,cf,evening,Pyralidae,Pyralinae,Detritivore,,Dull,,,,
tiramisu,"brown, white",9.7,12.3,Pyralidae sp. 1,cf,evening,Pyralidae,Pyralinae,Detritivore,,Dull,,,,
tiramisu,"brown, white",7.3,12.8,Pyralidae sp. 1,cf,evening,Pyralidae,Pyralinae,Detritivore,,Dull,,,,
fireball,"orange, white",7.3,19,,cf,evening,Pyralidae,Pyralinae,Detritivore,,Colorful,,,,
cottage core,brown,10.3,30.78,Hermeuptychia hermes,cf,evening,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
cottage core,brown,19,20.56,Hermeuptychia hermes,cf,evening,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
taylor swift,brown,15.7,20.63,Euptychoides nossis,cf,evening,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
swiss cheese,"yellow, black",16.7,29.1,Pantherodes pardalaria,cf,morning,Geometridae,Larentiinae,Phytophagous,,Colorful,,,,
cottage core,"black, brown",16,46.7,Hermeuptychia hermes,cf,morning,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
cabbage,white,18.5,36.5,Heliopetes arsalate,cf,morning,Hesperiidae,Pyrginae,Phytophagous,,Dull,,,,
black sunset,"black, orange",17.2,41,Altinote ozomene ,cf,morning,Nymphalidae,Acraeinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
tiger mama,orange,15.3,55.1,Dryas iulia alcionea,ar,morning,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollinator",,Colorful,,,,
white angel,off-white,29.3,69.7,Heliopetes arsalate,ar,morning,Hesperiidae,Pyrginae,Nectar Feeder,,Dull,,,,
aqua baby,"blue, white",21.1,43.6,,ar,morning,Lycaenidae,Polyommatinae,"Phytophagous, Occasional Predator (Lycaenidae larvae)",,Colorful,,,,
